,Parameter,Upper_MLH1_ICER,Lower_MLH1_ICER,Upper_MSH2_ICER,Lower_MSH2_ICER,Upper_MSH6_ICER,Lower_MSH6_ICER,Upper_PMS2_ICER,Lower_PMS2_ICER
0,du_csy,77207.11,72840.08,72901.65,69222.59,0.0,0.0,2153.55,2115.61
1,du_csy_comp,74972.81,74947.29,71025.13,71003.87,0.0,0.0,2134.53,2134.29
