age,female,male
20,0.02090040746957067,0.02111713554186836
21,0.02333032529611626,0.024378374113212645
22,0.026033481502307027,0.028124175635872592
23,0.029038341288748326,0.03242027270653293
24,0.03237578822317055,0.03733928201996892
25,0.036079195416041904,0.0429607573306453
26,0.0401844616532425,0.04937098635591417
27,0.044730001323807334,0.05666244324579014
28,0.049756675181547104,0.06493279548480654
29,0.05530764720943436,0.0742833554685572
30,0.06142815125367658,0.08481686614175916
31,0.0681651498505868,0.09663452163641201
32,0.07556686703157595,0.10983215316398993
33,0.08368217716722652,0.12449556284298091
34,0.09255983346190394,0.1406950677374864
35,0.10224752293464064,0.15847942402270837
36,0.11279074002485268,0.17786943227799426
37,0.12423147870307265,0.19885166714069533
38,0.1366067533920276,0.22137290670564463
39,0.14994697215089908,0.2453359298772383
40,0.16427420117529395,0.2705973702337375
41,0.17960037703595297,0.29696823349122803
42,0.19592554104842946,0.32421748691741814
43,0.21323618704313546,0.35207882124273415
44,0.23150382743665945,0.38026030580071196
45,0.2506838904422007,0.40845626861463796
46,0.2707150610476273,0.4363604107631719
47,0.2915191679836887,0.46367897772731004
48,0.3130016971200997,0.49014280167812635
49,0.3350529786932394,0.5155171998175283
50,0.35755005323661654,0.5396090261770856
51,0.3803591724872589,0.5622705603177812
52,0.40333884172943363,0.5834003000513761
53,0.42634326468069594,0.6029410419019126
54,0.44922601675145707,0.6208758427884999
55,0.47184375194722944,0.6372225485444372
56,0.49405974562115823,0.6520275629885703
57,0.5157470901438959,0.6653594438319385
58,0.5367913913100104,0.6773027818990577
59,0.5570928558543343,0.6879526778143812
60,0.5765677094116566,0.6974099975147033
61,0.5951489338590344,0.7057774778053263
62,0.6127863580218129,0.7131566709187751
63,0.6294461722436115,0.7196456621942091
64,0.6451099629906961,0.7253374637280073
65,0.6597733778302514,0.7303189738602057
66,0.6734445345751363,0.7346703922634905
67,0.6861422829353591,0.7384649884655984
68,0.697894415024773,0.7417691341329363
69,0.7087359050290692,0.7446425236763115
70,0.718707240526133,0.7471385219216987
71,0.7278528902204393,0.7493045906541143
72,0.7362199365568254,0.7511827572521027
73,0.743856887655627,0.7528100982022635
74,0.7508126716588613,0.7542192180583569
