x,Curve1
-0.0829,0.99445
0.8345,0.98642
1.9194,0.96738
3.2531,0.96222
5.0867,0.95997
7.0869,0.95776
8.0884,0.9387
9.0898,0.9224
10.2578,0.90615
10.8434,0.87869
