x,Curve1
25,0
28.075,0.06189
31.634,0.09982
34.743,0.15282
37.847,0.22846
40.286,0.28896
42.723,0.35702
46.495,0.43647
49.38,0.497
53.155,0.56136
56.932,0.61816
58.476,0.69372
60.025,0.74286
62.916,0.77698
66.251,0.81489
69.142,0.84901
