x,Curve1
0,1
0.6782,0.99742
0.9364,0.9504
1.5294,0.95333
2.3796,0.92033
2.9759,0.88448
3.8261,0.85148
4.1705,0.78786
4.8506,0.76312
7.3103,0.73887
9.6836,0.73398
11.3789,0.72891
