gene,sex,strategy,crc_incidents_total,crc_deaths,crc_vs_NH_pct,per_person_screening_alt_tests,total_ly,per_person_ly,per_person_qalys_disc,total_stage_1_pct,total_stage_2_pct,total_stage_3_pct,total_stage_4_pct
PMS2,male,NH,14594.047496828382,0.006421380898604488,0.0,0.0,3399472.0086853504,33.994720086853505,20.082153372891547,0.5943890774930823,0.20014814831492064,0.07712329974993021,0.12833947444206684
PMS2,male,Colo Q2Y @ 25,96400.7005177284,0.04463830523001658,-560.5480798844767,0.0,1866074.193383026,18.66074193383026,12.368660043676416,0.9948217637159091,0.002264337986931559,0.0012520973453351162,0.0016618009518244235
PMS2,male,FIT Q2Y @ 25,95048.40236937709,0.044010685610125465,-551.2819859605999,1.6577178811314013,1958307.8457860812,19.58307845786081,12.964631315787994,0.9941112947678726,0.002518018604770191,0.001451154943582174,0.0019195316837750888
PMS2,male,Colo Q2Y @ 30,91730.63322128943,0.042467063177530455,-528.5482710757559,0.0,2194590.2289382587,21.945902289382587,14.48645069819713,0.9919657628959635,0.0027979627287297187,0.001940064950336558,0.0032962094249697387
PMS2,male,Colo Q2Y @ 35,86109.58887352473,0.039861541600459176,-490.03226412849693,0.0,2488984.503074683,24.889845030746827,16.16494543000606,0.9913021126631034,0.002684390600198742,0.0020998888918053464,0.003913607844892525
PMS2,male,Colo Q3Y @ 25,96351.38836451742,0.04461538643689731,-560.2101876498399,0.0,1869522.0475939522,18.69522047593952,12.39076705206473,0.9947935896941739,0.0022712896909722158,0.0012586719534566642,0.0016764486613971836
PMS2,male,Colo Q3Y @ 30,91671.40629607576,0.042439615405146805,-528.1424417454996,0.0,2197677.628546374,21.97677628546374,14.503958803706235,0.99195915059178,0.0027985809349673004,0.0019413607380366078,0.0033009077352162994
PMS2,male,Colo Q3Y @ 35,86044.19299719566,0.03983124963061603,-489.5841644745573,0.0,2491666.216202539,24.91666216202539,16.178472915209184,0.9912942143917394,0.0026870660085425418,0.0021017147303148517,0.003917004869403142
PMS2,male,Colo Q4Y @ 25 + FIT Q2Y @ 27,96362.65880040539,0.044620649854204525,-560.2874139017788,0.04798562052519368,1868727.0461572013,18.687270461572012,12.38548971380393,0.9947997026126814,0.002273691282840334,0.001257914613320185,0.0016686914911580198
PMS2,male,Colo Q4Y @ 30 + FIT Q2Y @ 32,91684.94361127024,0.04244589696429854,-528.2352009008841,0.04527287277334506,2196961.7032454466,21.969617032454465,14.499762514876256,0.9919605921088926,0.0027994459728536486,0.0019413931704457316,0.00329856874780803
PMS2,male,Colo Q4Y @ 35 + FIT Q2Y @ 37,86059.19828853181,0.03983820093126428,-489.68698236205165,0.04225961404830617,2491039.3995838496,24.910393995838497,16.175211363364795,0.9912960732474378,0.00268650959002556,0.0021013241441036946,0.003916093018432832
PMS2,male,Colo Q6Y @ 25 + FIT Q3Y @ 28,96289.61451954373,0.044586727577733666,-559.7869065485065,0.047451234902654245,1873369.4726615597,18.733694726615596,12.414256906573392,0.9947711360011731,0.0022774749965288003,0.0012650964932180645,0.001686292509079779
PMS2,male,Colo Q6Y @ 30 + FIT Q3Y @ 33,91599.76405419319,0.04240642860933943,-527.651541315731,0.04466512955116373,2201085.611315658,22.010856113156578,14.522401802581484,0.9919512695116041,0.0028012082598965937,0.0019433104278197197,0.003304211800679492
PMS2,male,Colo Q6Y @ 35 + FIT Q3Y @ 38,85964.413915424,0.039794292306483924,-489.0375095332945,0.04159473309480809,2494586.3418412777,24.945863418412777,16.192569027819413,0.9912783671414411,0.0026952748212911346,0.002104922184659348,0.003921435852608284
PMS2,male,Colo-None-FIT-FIT @ 25,96375.93635319763,0.044626817815564906,-560.3783931369437,0.06758724629840283,1867819.5308787478,18.67819530878748,12.379818731884761,0.9948069585306801,0.0022720492665650807,0.0012560250905074366,0.00166496711224729
PMS2,male,Colo-None-FIT-FIT @ 30,91700.79389560659,0.04245324025097379,-528.3438087722769,0.06373445206472833,2196152.607933984,21.96152607933984,14.495287281317925,0.9919623701143896,0.002798995576999388,0.001940978886630184,0.0032976554219811835
PMS2,male,Colo-FIT-FIT-FIT @ 25,96419.71265184117,0.044647180470946166,-560.6783530942691,0.07659698135231235,1864701.3487916898,18.647013487916897,12.359473621034368,0.9948330844777085,0.0022675590087289717,0.0012504591650203327,0.0016488973485418912
PMS2,male,Colo-FIT-FIT-FIT @ 30,91753.66754343563,0.04247775522744188,-528.7061047552147,0.07236523190955797,2193352.142569939,21.933521425699393,14.479135516717834,0.9919682140627707,0.0028004506223142244,0.0019401688942143162,0.0032911664207008967
