mutation,current,new,nono,init adenoma,adenoma,init dx stage I,init dx stage II,init dx stage III,init dx stage IV,dx stage I,dx stage II,dx stage III,dx stage IV,all cause dx,all cause,cancer death,csy death,cancer incidence,overall survival,age,csy tracker
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,True
0.0,0.0,0.9730019937695257,0.0,0.020787659711330342,0.0,0.002293597083452408,0.0018161967855392367,0.0009029092590966491,0.00017643054488095445,0.0,0.0,0.0,0.0,0.0,0.0009599308263193816,0.0,6.128201985537444e-05,0.005189133672969248,0.9989787871538253,26.0,False
0.0,0.0,0.9467328798794721,0.0,0.020226434344926866,0.020658561141200932,0.00227935305078887,0.0018049175741540826,0.0008973018797223153,0.00017533485006068233,0.002222587476405273,0.0017807408012433228,0.000840807621668487,1.3932089218676341e-05,4.981209374575098e-06,0.0019139001495729116,0.00032608447505891335,0.00012218345713205394,0.010346041027695197,0.9976328507088615,27.0,False
0.0,0.0,0.9211468600034741,0.0,0.01968036094446225,0.04062995750879549,0.0022651974785040034,0.001793708410580093,0.0008917293241169606,0.00017424595988492335,0.00442911417884481,0.003515658872621948,0.001618563264847676,1.4945738471237294e-05,1.4871198974003188e-05,0.0028891926671073516,0.0007528877739355236,0.00018270667537973134,0.01547092220078118,0.9961603416846034,28.0,False
0.0,0.0,0.8962234967804782,0.0,0.01914848746991267,0.0599322195736772,0.0022510673220417898,0.0017825193726575255,0.0008861667738354555,0.00017315902477244534,0.006619535514477212,0.005205717567351947,0.0023376360938997943,1.4939802906676433e-05,2.985089983503095e-05,0.0038891091281666196,0.0012632423223105172,0.00024285235367711656,0.020563834694088394,0.9945749452960108,29.0,False
0.0,0.0,0.8719433898364837,0.0,0.018630389076371146,0.0785821888891636,0.002236954877369755,0.001771344359908177,0.0008806111960686365,0.00017207345210536578,0.008793725631800892,0.00685181250384461,0.003002071657930479,1.485350952222694e-05,5.01526367696097e-05,0.004916592653180603,0.0018512187542205761,0.00030262096526089327,0.025624818579540333,0.9928794149905683,30.0,True
0.0,0.0,0.8482888023381489,0.0,0.01812566247546468,0.09659616059129196,0.0022228533011612052,0.001760177953408194,0.0008750598968372164,0.00017098871547393887,0.010951542836188174,0.008454815845828812,0.0036156344317659714,1.4760978763603173e-05,7.602320554309992e-05,0.005973463348151173,0.0025120412814506666,0.0003620128005226912,0.030653898446420885,0.9910764593643324,31.0,False
0.0,0.0,0.8252433865499427,0.0,0.017633938959937406,0.11398997975406484,0.0022087583617623704,0.0017490168023005194,0.0008695112102865439,0.00016990448936633618,0.013092838354514604,0.010015577422232918,0.0041818274607255375,1.466802192644862e-05,0.00010770589041089778,0.0070605773891289645,0.003241281296610476,0.0004210280367896912,0.035651089310136656,0.9891694073870599,32.0,False
0.0,0.0,0.8027911859804474,0.0,0.017154878698626055,0.13077901129069266,0.0021946680606043487,0.0017378593240079683,0.0008639643496496757,0.00016882062004648838,0.015217451191488271,0.011534927197797779,0.004703911302108801,1.4575072243082625e-05,0.00014545693042526165,0.008178855567799152,0.004034767616073457,0.0004796667979898349,0.04061640166444513,0.9871612530877123,33.0,False
0.0,0.0,0.7809159669165879,0.0,0.01668814999341685,0.14697804578146695,0.0021805802614093244,0.0017267038269078358,0.000858418473948467,0.00016773694318533266,0.01732519527020218,0.013013677409230031,0.005184921527998453,1.4482152009900228e-05,0.0001895766704578535,0.009330066987659993,0.004888548634546713,0.0005379291509724165,0.04554984116989609,0.9850538785563631,34.0,False
0.0,0.0,0.759599705285631,0.0,0.016233415383406533,0.1626009209639078,0.002166490893430327,0.0017155470875579513,0.0008528719806716672,0.00016665314564848674,0.019415811852336238,0.014452622851801484,0.005627684167905221,1.4389250731027217e-05,0.00024050669994417042,0.010518739036028917,0.005798826347177956,0.0005958150538215078,0.05045140427720453,0.9828461128630275,35.0,True
0.0,0.0,0.7388203934883704,0.0,0.015790300190304512,0.17765976166863726,0.002152389580901779,0.0017043808898543494,0.0008473207852418767,0.00016556842930013683,0.021488872630961962,0.015852539820057514,0.006034829450424511,1.4296344447136553e-05,0.0002990210527573279,0.011755156502791717,0.006761844978556078,0.0006533241873938172,0.05532106396250267,0.9805306532785011,36.0,False
0.0,0.0,0.7152077097044374,0.0,0.015358346927627423,0.19128877612626524,0.004006321042205535,0.0031724261646423916,0.0015771490075650746,0.00030817854170811813,0.023543865674379817,0.017214181505478755,0.0064088029264499115,1.4203368601914043e-05,0.00036602820942306896,0.013049572919097526,0.007773982278169204,0.0007104556039489901,0.0643851387186238,0.9780999609893613,37.0,False
