label,cost,qalys,incr_cost,incr_qalys,ICER
NH,41.09230203209929,22.92377471007528,,,
FIT Q2Y @ 25,3368.897984961957,23.001195210037334,3327.8056829298575,0.0774204999620558,42983.520960996546
Colo Q6Y @ 35 + FIT Q3Y @ 38,7047.250199575668,23.026828645925374,3678.3522146137116,0.025633435888039457,143498.21189324168
Colo Q2Y @ 35,17481.928416495506,23.026966165464913,10434.678216919838,0.00013751953953899942,75877786.18150948
Colo Q3Y @ 35,11938.290101774995,23.031391154159955,-5543.638314720511,0.004424988695042487,-1252802.8197973245
Colo Q4Y @ 35 + FIT Q2Y @ 37,10169.165328771725,23.031719062125262,-1769.12477300327,0.00032790796530690614,-5395186.94322492
Colo Q2Y @ 25,28761.765324489803,23.036848750198445,18592.599995718076,0.005129688073182592,3624508.8844520603
Colo Q2Y @ 30,22598.092481284628,23.03866011435178,-6163.672843205175,0.0018113641533368252,-3402779.519430532
Colo Q6Y @ 30 + FIT Q3Y @ 33,9099.334967026716,23.039394629198203,-13498.757514257912,0.0007345148464210638,-18377787.161186516
Colo Q6Y @ 25 + FIT Q3Y @ 28,11496.422967065684,23.04070091625343,2397.088000038968,0.0013062870552289496,1835039.2361645477
Colo Q3Y @ 30,15480.909086178128,23.044727978924495,3984.4861191124437,0.004027062671063675,989427.3927601962
Colo Q4Y @ 30 + FIT Q2Y @ 32,13098.204496090122,23.045414653325285,-2382.7045900880057,0.0006866744007893999,-3469919.058215731
Colo Q3Y @ 25,19539.247098716412,23.04586683486256,6441.04260262629,0.0004521815372768856,14244373.269672504
Colo-None-FIT-FIT @ 30,14267.878927755566,23.046144158442864,-5271.368170960846,0.00027732358030263526,-19008005.61282367
Colo-FIT-FIT-FIT @ 30,15558.01169500177,23.046260085977522,1290.132767246203,0.00011592753465805572,11128786.366859503
Colo Q4Y @ 25 + FIT Q2Y @ 27,16564.253325955953,23.047041727246587,1006.2416309541841,0.000781641269064437,1287344.5540542863
Colo-FIT-FIT-FIT @ 25,19687.216559023465,23.047395702955406,3122.963233067512,0.0003539757088191209,8822535.431840394
Colo-None-FIT-FIT @ 25,18053.98575587724,23.04771115500055,-1633.2308031462271,0.00031545204514316083,-5177429.749758071
