gene,sex,strategy,crc_incidents_total,crc_incidents_screen,crc_incidents_symptom,crc_deaths,screen_stage_1_count,screen_stage_1_pct,screen_stage_2_count,screen_stage_2_pct,screen_stage_3_count,screen_stage_3_pct,screen_stage_4_count,screen_stage_4_pct,symptom_stage_1_count,symptom_stage_1_pct,symptom_stage_2_count,symptom_stage_2_pct,symptom_stage_3_count,symptom_stage_3_pct,symptom_stage_4_count,symptom_stage_4_pct,total_stage_1_count,total_stage_1_pct,total_stage_2_count,total_stage_2_pct,total_stage_3_count,total_stage_3_pct,total_stage_4_count,total_stage_4_pct,per_person_crc_incidents_total,per_person_crc_incidents_screen,per_person_crc_incidents_symptom,per_person_crc_deaths,screening_colonoscopies,screening_alt_tests,per_person_screening_colonoscopies,per_person_screening_alt_tests,total_cost,total_cost_disc,total_qalys,total_qalys_disc,total_ly,per_person_cost,per_person_cost_disc,per_person_qalys,per_person_qalys_disc,per_person_ly,screening_cost,nonscreening_colo_cost,colo_complication_cost,crc_vs_NH_abs,crc_vs_NH_pct
PMS2,male,NH,26007.508944093937,0.0,26007.508944093937,0.011443303935401333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8408.033740810259,0.32329254442954425,10564.943142576536,0.4062266465153225,5764.816449880406,0.22165969306297373,1269.7156108267345,0.04882111599215945,8408.033740810259,0.32329254442954425,10564.943142576536,0.4062266465153225,5764.816449880406,0.22165969306297373,1269.7156108267345,0.04882111599215945,0.2600750894409394,0.0,0.2600750894409394,1.1443303935401333e-07,0.0,0.0,0.0,0.0,39125696.45549491,11288893.049917273,3340362.9578014216,2003739.1278664023,3359829.1164382333,391.2569645549491,112.88893049917273,33.40362957801422,20.03739127866402,33.59829116438233,0.0,39011263.4161409,114433.03935401331,0.0,0.0
PMS2,male,Colo Q2Y @ 25,7933.522946720303,7603.690873963908,329.8320727563934,0.6558423932439836,7339.936556522305,0.9653123303125414,241.72138792688838,0.03179000723906017,20.21084911891966,0.0026580314026342666,1.8220803957943301,0.0002396310457640231,171.98533872849885,0.5214330349720822,106.65034285382791,0.32334739906448534,45.53897879952406,0.13806716375080397,5.6574123745426315,0.017152402212628575,7511.921895250804,0.9468582804510841,348.3717307807163,0.04391135352103976,65.74982791844371,0.008287595354548576,7.479492770336962,0.0009427706733272844,0.07933522946720302,0.07603690873963909,0.003298320727563934,6.558423932439836e-06,1490221.0616635696,0.0,14.902210616635697,0.0,4477716357.032284,2452769528.894456,3433903.0027740886,2022200.866771702,3448678.9620647714,44777.16357032284,24527.69528894456,34.33903002774089,20.22200866771702,34.48678962064771,4470663184.990709,494748.1091345903,6558423.932439836,18073.985997373635,69.4952601428522
PMS2,male,FIT Q2Y @ 25,34332.80450819394,32226.917398345828,2105.887109848104,0.08493038998081165,30658.51135337625,0.9513324211067707,1360.6317723044276,0.042220351251288694,183.40566529809246,0.005691070698170668,24.368607367062516,0.000756156943770034,1106.7451613779203,0.5255481911647909,709.8586208551128,0.33708294121536,255.3805756669417,0.12126983183128087,33.902751948129,0.016099035788568163,31765.256514754168,0.9252158968596056,2070.4903931595404,0.060306474312792964,438.78624096503415,0.01278037862768573,58.27135931519152,0.0016972501999154876,0.3433280450819394,0.3222691739834583,0.02105887109848104,8.493038998081165e-07,190917.72648290562,1336160.40843219,1.9091772648290561,13.3616040843219,630207730.3505847,332843840.2490929,3290270.234574292,1981809.7024787418,3320650.660007394,6302.077303505847,3328.4384024909286,32.90270234574292,19.818097024787416,33.206506600073936,626199595.7860045,3158830.664772156,849303.8998081164,-8325.295564100004,-32.01112256462609
PMS2,male,Colo Q2Y @ 30,8003.762791949485,7602.9867259557395,400.7760659937471,0.5496032326479241,7343.359101118231,0.9658518902905394,237.57168755953737,0.031247152747024325,20.137007889717527,0.0026485654408644503,1.9189293882521088,0.00025239152157152927,195.4377508557829,0.48764825906253617,134.5513254701305,0.3357269480064954,62.47247183079761,0.1558787490862099,8.314517837036188,0.02074604384475871,7538.796851974013,0.9419065816839107,372.12301302966785,0.046493508453794324,82.60947972051514,0.010321330337726545,10.233447225288296,0.0012785795245683093,0.08003762791949486,0.07602986725955739,0.004007760659937471,5.496032326479241e-06,1248697.4799520157,0.0,12.486974799520157,0.0,3752189636.281517,1859890772.7941334,3434250.694032251,2022916.0226629332,3447729.700025254,37521.89636281517,18598.907727941336,34.34250694032251,20.229160226629332,34.47729700025254,3746092439.8560476,601164.0989906207,5496032.326479242,18003.746152144453,69.22518489120019
PMS2,male,Colo Q2Y @ 35,8881.332016520999,8503.121655152878,378.2103613681227,0.4473057345770609,8209.122699663578,0.9654245855331098,264.32214582090336,0.031085306848541272,25.649262601617075,0.003016452503190245,4.027547066778757,0.00047365511515856884,194.3242290239935,0.5137993267055218,120.10548357183754,0.3175626472457626,53.44116615118684,0.1413001112869329,10.339482621104736,0.02733791476178261,8403.446928687572,0.9461921830031275,384.42762939274087,0.04328490688982587,79.09042875280392,0.008905244011335281,14.367029687883493,0.0016176660957115479,0.08881332016520999,0.08503121655152877,0.0037821036136812267,4.473057345770609e-06,1016225.7318592248,0.0,10.162257318592248,0.0,3053717568.465497,1366406962.8153343,3423753.7597598713,2019361.395126243,3437018.1903700805,30537.17568465497,13664.069628153344,34.23753759759871,20.193613951262428,34.370181903700804,3048677195.577674,567315.542052184,4473057.34577061,17126.17692757294,65.85089315700162
PMS2,male,Colo Q3Y @ 25,12779.685233412823,12028.69412172087,750.991111691953,0.43675769295158007,11529.936585538071,0.9585360196929303,447.347947564457,0.03719006760315373,46.12651445039958,0.0038347067423641955,5.283074167944673,0.0004392059615519475,359.0712128174192,0.47812977707345444,262.48135150396917,0.3495132597676278,114.05257893254903,0.1518694125095477,15.385968438015482,0.02048755064936988,11889.007798355491,0.9303052134078676,709.8292990684262,0.05554356669228118,160.17909338294862,0.012533884086922279,20.669042605960154,0.0016173358129291321,0.12779685233412824,0.12028694121720869,0.007509911116919531,4.367576929515801e-06,991880.129232808,0.0,9.91880129232808,0.0,2981134451.295478,1662867414.2969909,3411732.691334891,2016469.0252702872,3427639.1719471533,29811.34451295478,16628.67414296991,34.11732691334891,20.164690252702872,34.27639171947153,2975640387.698424,1126486.6675379295,4367576.9295158,13227.823710681114,50.86155594184667
PMS2,male,Colo Q3Y @ 30,12858.696460924251,12240.590039595878,618.1064213283739,0.36795591213937767,11718.675130899344,0.9573619484838359,467.5335441649637,0.03819534374181192,48.66009052001291,0.003975305958504221,5.721274011556477,0.000467401815847871,319.94734425233474,0.5176250128007652,207.90833005120464,0.33636332333255553,80.03848341541851,0.1294898105789091,10.212263609416151,0.016521853287770335,12038.622475151678,0.9362241741793453,675.4418742161683,0.052528020726575204,128.69857393543143,0.010008679676554158,15.93353762097263,0.0012391254175252043,0.12858696460924252,0.12240590039595878,0.00618106421328374,3.679559121393777e-06,835645.3302590754,0.0,8.356453302590754,0.0,2511542709.5306125,1263212538.4418528,3411815.3600639673,2016887.777288288,3426894.688479204,25115.427095306124,12632.125384418528,34.11815360063967,20.16887777288288,34.268946884792044,2506935990.7772264,927159.6319925612,3679559.1213937774,13148.812483169686,50.55775434484916
PMS2,male,Colo Q3Y @ 35,13631.614695405613,12913.970770191983,717.6439252136274,0.29815028163138624,12375.054805178233,0.9582687637595033,478.68743284969804,0.037067408728739266,52.6507891815739,0.004077041068042558,7.577742982477412,0.0005867864437147676,355.7509252661662,0.4957206669871366,243.23417493825397,0.33893434667596234,101.71925569339362,0.14174056536898008,16.939569315813785,0.02360442096792115,12730.8057304444,0.9339176623540554,721.921607787952,0.05295936130231643,154.3700448749675,0.011324413748797951,24.517312298291195,0.0017985625948299792,0.13631614695405614,0.12913970770191982,0.007176439252136274,2.9815028163138623e-06,676896.632509755,0.0,6.76896632509755,0.0,2034747866.2333992,926556108.8892092,3401914.7145035397,2013451.791876219,3417104.2115176157,20347.478662333993,9265.561088892091,34.0191471450354,20.13451791876219,34.17104211517616,2030689897.529265,1076465.887820441,2981502.816313862,12375.894248688324,47.585850206921776
PMS2,male,Colo Q4Y @ 25 + FIT Q2Y @ 27,15157.737014405237,14430.060945517598,727.6760688876352,0.3651924772572471,13820.546150487873,0.9577607608636568,547.8665424421646,0.03796702900359877,55.68116954117723,0.0038586926106139174,5.967083046383083,0.0004135175221305378,377.14132152874197,0.51828188070725,243.34245184000068,0.3344104090326717,95.23902988038002,0.13088108012946958,11.95326563851262,0.016426630130608837,14197.687472016614,0.9366627392020171,791.2089942821652,0.052198358734568066,150.92019942155724,0.009956644535931019,17.920348684895703,0.0011822575274834893,0.15157737014405237,0.14430060945517598,0.007276760688876352,3.651924772572471e-06,829255.226788492,700574.2082932101,8.29255226788492,7.005742082932102,2520532087.573108,1413883144.9953976,3399893.740149795,2013181.5903556885,3416863.0922059505,25205.320875731082,14138.831449953976,33.99893740149795,20.131815903556884,34.168630922059506,2515788648.6972046,1091514.103331453,3651924.7725724704,10849.7719296887,41.717843692802354
PMS2,male,Colo Q4Y @ 30 + FIT Q2Y @ 32,15208.007976688148,14492.68697505098,715.3210016371706,0.30739853569199677,13876.752243349214,0.9575003080683319,553.089248169459,0.038163333626234856,56.68835490324735,0.003911514476289718,6.157128629056755,0.00042484382914335987,371.878374788431,0.5198762149263128,239.63361439434883,0.3350015081982693,92.22337516089004,0.12892585978856544,11.585637293500602,0.016196417086852342,14248.630618137646,0.936916303567101,792.7228625638078,0.052125358152030586,148.9117300641374,0.009791665699570861,17.742765922557357,0.001166672581297607,0.15208007976688148,0.1449268697505098,0.007153210016371706,3.0739853569199675e-06,697917.7146619918,578958.2050400325,6.979177146619918,5.789582050400325,2121058439.0469525,1075194579.7524407,3399847.5444494197,2013504.690142857,3416131.2487314898,21210.584390469525,10751.945797524408,33.9984754444942,20.13504690142857,34.161312487314895,2116911472.1875768,1072981.5024557556,3073985.3569199676,10799.50096740579,41.52454966225535
