,MLH1,MLH1,MSH2,MSH2,MSH6,MSH6,PMS2,PMS2
,male,female,male,female,male,female,male,female
0,0.9391142365412478,1.011645718627831,1.1268870889689908,0.9154284703118355,0.7294347393097802,0.0778460474012392,0.2819352803187951,0.5214876571368176
1,1.0854023878542727,1.127646621353093,1.2595812795540573,1.0114914858122654,0.8011787132421805,0.08933088314069614,0.31016105820676754,0.5540362775472244
2,1.2539491791264143,1.2566093683294717,1.4075317206017917,1.1174127954663156,0.8795908512271755,0.10250124168580511,0.3411758076884517,0.5885429109021252
3,1.447965237922284,1.3999005622440104,1.5724010869212544,1.23415524606283,0.9652118186449151,0.11760168770065181,0.3752473848032288,0.6251159340137941
4,1.6710660700328948,1.5590113174437255,1.7560107409362171,1.3627650426988216,1.0586101427771657,0.1349113861952049,0.41266775678837136,0.66386852179419
5,1.927303786467704,1.7355638744988553,1.9603502868785914,1.5043766108433234,1.1603802897655704,0.15474871806655227,0.4537548337361645,0.7049187029218938
6,2.221194489387867,1.9313173327550845,2.1875862162185906,1.6602171906260008,1.2711398690490285,0.17747642233625605,0.49885436631120805,0.7483893924691729
7,2.5577382982570547,2.148172100173946,2.440069145451397,1.831610998135283,1.3915258265339607,0.2035072959455776,0.5483418941281485,0.7944083977398578
8,2.9424281312514946,2.388172576858197,2.7203390345855634,2.0199827527503538,1.5221894851204527,0.23331047295294624,0.6026247241624663,0.8431083932395649
9,3.3812423925547623,2.6535074985394034,3.0311276496053186,2.226860329516162,1.6637902944299625,0.26741829099542525,0.6621439123378651,0.8946268603694827
10,3.8806157098156735,2.94650727161392,3.3753573976135236,2.453876251668521,1.8169881625498416,0.306433732367992,0.7273762140882314,0.9491059871098457
11,4.447380917868736,3.269637536306626,3.7561355242478336,2.7027676913928342,1.9824342633773215,0.35103839813832594,0.7988359611227518,1.0066925226469614
12,5.088674752291475,3.625488105504441,4.176742527023845,2.9753745980464625,2.1607602457947044,0.4020009340828171,0.8770768117393538,1.0675375816075665
13,5.811799425545136,4.016756352465276,4.640613516679133,3.27363552435259,2.352565817366559,0.4601857742776121,0.9626933107738748,1.1317963923072434
14,6.624032707386283,4.446224072498702,5.151311166645385,3.5995806752687103,2.5584047370335754,0.5265619989868545,1.0563221826266254,1.1996279832084384
15,7.532380677887489,4.916726836338975,5.7124888482842575,3.955321665107047,2.7787693291599895,0.6022120149881786,1.1586432668286148,1.2711948016328352
16,8.543270345759328,5.43111490367062,6.327842580950534,4.343037440903345,3.0140737249215355,0.6883396557125561,1.2703799904451958,1.346662258699023
17,9.662184155226546,5.992204893811408,7.001050559885059,4.764955820041808,3.2646361445125924,0.7862771631740596,1.3922992555396194,1.4261981944778543
18,10.893245203532643,6.602721637695874,7.735699292681832,5.223330104961827,3.530660651195775,0.8974903525177499,1.525210603369547,1.509972257494735
19,12.238770603114535,7.265229980877767,8.53519580795744,5.720410285625255,3.8122189297875533,1.0235810742958957,1.669964500605359,1.5981551929818258
20,13.698820214233953,7.982056787169782,9.402666025102285,6.258408430204024,4.109232759411057,1.1662858841356405,1.8274495775247985,1.6909180347164792
21,15.270777713547528,8.755204014692335,10.340840208930018,6.839458005108823,4.421457952726066,1.3274696145707026,1.9985886350252824,1.7884311958983086
22,16.949008816883477,9.586254495665424,11.351927477797794,7.46556706512011,4.748470609203151,1.5091123373199495,2.184333227895218,1.89086345533934
23,18.72464519370565,10.476272925467802,12.437482563122847,8.138565519003153,5.0896565654962,1.7132880338640437,2.385656627932894,1.9983808362916582
24,20.5855399735142,11.42570550991212,13.598269373703001,8.860047007919873,5.444204909423566,1.9421331972482883,2.6035449743686714,2.1111453765350054
25,22.516430200234584,12.43428266133651,14.834127302353675,9.631306330040838,5.81110634572234,2.1978036208614697,2.8389864331063985,2.2293137899092983
26,24.499322974769317,13.500929977527164,16.143847487212906,10.453273794487977,6.189157056062962,2.4824178544644697,3.0929582132382776,2.3530360213158823
27,26.514097081693553,14.623693365540136,17.52506723301458,11.326448371516337,6.576968483233615,2.7979862951309684,3.3664113318486075,2.48245369933141
28,28.539284320386244,15.799684457972985,18.974191316066097,12.250831993903024,6.972983197564093,3.146325699876222,3.660253078880149,2.617698492976381
29,30.552969594068145,17.025052291399163,20.486348752551475,13.225867816813844,7.375496687836992,3.5289601084227264,3.9753272148793757,2.75889038184288
30,32.53373123377165,18.294986482559825,22.055392652607956,14.250385611061596,7.78268458140655,3.9470107594874873,4.312392036959636,2.906135851687223
31,34.461536921691064,19.603755805499997,23.6739489363271,15.3225576931823,8.192634466459081,4.40107951621666,4.672096572152504,3.059526030693474
32,36.3185173193498,20.944784171519608,25.333516984408558,16.43986883043031,8.603381193029982,4.891132437470448,5.054955300399027,3.2191347848581757
33,38.0895575692021,22.31076365660421,27.024621897022957,17.599103351863448,9.01294429694916,5.4163921842182114,5.461321967316031,3.3850167942639375
34,39.76267225263897,23.6938016035546,28.737014230641833,18.7963522156784,9.419366045656693,5.97524957282191,5.891363212313179,3.55720563531179
35,41.3291569441686,25.085596209339144,30.459909269036277,20.02704201901531,9.820748561818712,6.565205351112789,6.345032900384757,3.7357118971651757
