label,cost,qalys,incr_cost,incr_qalys,ICER
FIT Q2Y @ 25,3169.9570915100135,19.86977068614455,,,
NH,111.69440165031567,20.004926661808497,-3058.2626898596977,0.13515597566394533,-22627.654270084415
Colo Q6Y @ 35 + FIT Q3Y @ 38,5528.56538365538,20.018660631454225,5416.870982005064,0.013733969645727484,394414.07850280235
Colo Q6Y @ 25 + FIT Q3Y @ 28,9801.270252558887,20.02630487641236,4272.704868903506,0.007644244958136426,558944.0019652562
Colo Q6Y @ 30 + FIT Q3Y @ 33,7462.684783985182,20.0267400880562,-2338.585468573705,0.0004352116438397502,-5373444.1660177605
Colo Q4Y @ 25 + FIT Q2Y @ 27,14061.698758008135,20.095903103154303,6599.013974022953,0.06916301509810197,95412.46813290026
Colo Q4Y @ 35 + FIT Q2Y @ 37,7902.523081174246,20.102266694480686,-6159.175676833889,0.006363591326383755,-967877.3134436919
Colo Q4Y @ 30 + FIT Q2Y @ 32,10679.273662874084,20.10258973849225,2776.750581699838,0.0003230440115622457,8595579.804347496
Colo-None-FIT-FIT @ 25,15377.82901162122,20.11414907801669,4698.555348747135,0.011559339524442436,406472.64826956193
Colo-None-FIT-FIT @ 30,11688.735209265427,20.12163359100178,-3689.093802355792,0.007484512985087122,-492896.97401905834
Colo Q3Y @ 25,16546.494106538416,20.126000113467995,4857.758897272988,0.004366522466217049,1112500.6077162186
Colo-FIT-FIT-FIT @ 25,16792.093374224853,20.129336691462704,245.5992676864371,0.003336577994708989,73608.13026876593
Colo Q3Y @ 30,12557.257488356028,20.134934301329015,-4234.835885868824,0.005597609866310194,-756543.5939643867
Colo-FIT-FIT-FIT @ 30,12768.817998918215,20.1367660558434,211.56051056218712,0.0018317545143844427,115496.10436378894
Colo Q3Y @ 35,9260.448628908334,20.138140201575695,-3508.369370009881,0.0013741457322957729,-2553127.581416332
Colo Q2Y @ 25,24406.98852147972,20.187129574684747,15146.539892571387,0.048989373109051826,309180.1125696124
Colo Q2Y @ 30,18493.57204000532,20.19934497626276,-5913.4164814744,0.012215401578014706,-484095.1354491181
Colo Q2Y @ 35,13683.118958047036,20.207484327472766,-4810.453081958285,0.008139351210004975,-591011.858051441
