,mutation,current,new,nono,init dx,cancer dx,adenoma,cancer death,all cause,all cause dx,cancer incidence
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.9979487019440888,0.0,0.0,0.0,0.0,0.0020512980559111993,0.0,0.0
2,0.0,0.0,0.0,0.9959016117118917,0.0,0.0,0.0,0.0,0.004098388288108214,0.0,0.0
3,0.0,0.0,0.0,0.9938214001486632,0.0,0.0,0.0,0.0,0.006178599851336789,0.0,0.0
4,0.0,0.0,0.0,0.9916978638651444,0.0,0.0,0.0,0.0,0.008302136134855575,0.0,0.0
5,0.0,0.0,0.0,0.989522379071846,0.0,0.0,0.0,0.0,0.010477620928153922,0.0,0.0
6,0.0,0.0,0.0,0.9872923393308143,0.0,0.0,0.0,0.0,0.01270766066918572,0.0,0.0
7,0.0,0.0,0.0,0.9850096127068861,0.0,0.0,0.0,0.0,0.014990387293113853,0.0,0.0
8,0.0,0.0,0.0,0.9826760622844878,0.0,0.0,0.0,0.0,0.017323937715512182,0.0,0.0
9,0.0,0.0,0.0,0.9802935452773525,0.0,0.0,0.0,0.0,0.019706454722647447,0.0,0.0
10,0.0,0.0,0.0,0.9778580352777289,0.0,0.0,0.0,0.0,0.02214196472227109,0.0,0.0
11,0.0,0.0,0.9549253328735247,0.0,0.0,0.0,0.020327380083343487,0.0,0.024747287043131814,0.0,0.0
12,0.0,0.0,0.9325304476376484,0.0,0.0,0.0,0.04012388439900279,0.0,0.027345667963348783,0.0,0.0
13,0.0,0.0,0.9105545547429283,0.0,0.0,0.0,0.05939753735787728,0.0,0.030047907899194266,0.0,0.0
14,0.0,0.0,0.888983286313818,0.0,0.0,0.0,0.0781534286543225,0.0,0.03286328503185942,0.0,0.0
15,0.0,0.0,0.8678004886492637,0.0,0.0,0.0,0.09639568854564397,0.0,0.03580382280509213,0.0,0.0
16,0.0,0.0,0.8469793992901128,0.0,0.0,0.0,0.11412625412262163,0.0,0.03889434658726544,0.0,0.0
17,0.0,0.0,0.8076074364598185,0.0,0.0,0.0,0.15022463004568018,0.0,0.042167933494501174,0.0,0.0
18,0.0,0.0,0.7698745073176393,0.0,0.0,0.0,0.18446838312868433,0.0,0.04565710955367625,0.0,0.0
19,0.0,0.0,0.7336865474107992,0.0,0.0,0.0,0.21690966280978222,0.0,0.0494037897794184,0.0,0.0
20,0.0,0.0,0.6989523221754418,0.0,0.0,0.0,0.2475915292585529,0.0,0.053456148566005134,0.0,0.0
21,0.0,0.0,0.6656018154411851,0.0,0.0,0.0,0.27655394326640476,0.0,0.05784424129240992,0.0,0.0
22,0.0,0.0,0.6335585438968179,0.0,0.0,0.0,0.3038273454153269,0.0,0.06261411068785501,0.0,0.0
23,0.0,0.0,0.6027296606716461,0.0,0.0,0.0,0.3294248690299303,0.0,0.06784547029842339,0.0,0.0
24,0.0,0.0,0.5730327618522749,0.0,0.0,0.0,0.3533502463417292,0.0,0.07361699180599572,0.0,0.0
25,0.0,0.0,0.5444156685405901,0.0,0.0,0.0,0.37561176741594116,0.0,0.07997256404346856,0.0,0.0
26,0.0,0.0,0.516861107913468,0.0,0.0,0.0,0.39623483400760917,0.0,0.08690405807892268,0.0,0.0
27,0.0,0.0,0.48740153399583264,0.0,0.005206279209561265,0.0,0.41298594280157164,0.0,0.09440624399303427,0.0,0.005206279209561265
28,0.0,0.0,0.45926021290575175,0.0,0.005133818239447205,0.004750274049985688,0.4279290563776053,0.00040937472179172806,0.10247063326763425,4.66304377838497e-05,0.01034009744900847
29,0.0,0.0,0.4323625638790075,0.0,0.005058564862196079,0.009010166294154388,0.44108569143234444,0.001186570367334399,0.11115308237744331,0.00014336078751968264,0.015398662311204549
30,0.0,0.0,0.40664339728823007,0.0,0.004980216517760085,0.012811897266782703,0.45247497927744307,0.0022928081758093184,0.120502744605362,0.0002939568686125282,0.020378878828964633
31,0.0,0.0,0.38205489408818233,0.0,0.004898510591401242,0.016185182055058176,0.46212521138222046,0.003691819127288382,0.13054250510923116,0.0005018776466180765,0.02527738942036588
32,0.0,0.0,0.35856907273684685,0.0,0.004813335741027394,0.01931941502001408,0.4700837837159742,0.005188513031847947,0.1412564183857855,0.0007694613685038474,0.03009072516139327
33,0.0,0.0,0.33615750259678867,0.0,0.004724802663581187,0.022088461834160186,0.47639983868314945,0.006901654158024034,0.15262713089508725,0.0011006091692090502,0.034815527824974456
34,0.0,0.0,0.3147959386085151,0.0,0.004633029453160981,0.024513929263659667,0.48113062021208125,0.008805080194821822,0.164624883901268,0.0014965183664929693,0.03944855727813544
35,0.0,0.0,0.29445358638991953,0.0,0.004538204262311222,0.026616183371786662,0.4843273823206011,0.010874171040501576,0.17723226974903256,0.001958202865847199,0.04398676154044666
36,0.0,0.0,0.2750809621277033,0.0,0.004440443747531208,0.02841282870037967,0.4860117951297372,0.01308576570060826,0.19048003745458153,0.002488167139458731,0.048427205287977865
37,0.0,0.0,0.26356121233862073,0.0,0.004561891890517488,0.029920670996243338,0.4790603951346833,0.015417961177090898,0.2043892953482005,0.0030885731146436317,0.052989097178495356
38,0.0,0.0,0.2521864390946285,0.0,0.00445117819943938,0.03136037624940148,0.4714615032903303,0.017865817088843324,0.21891178223710628,0.0037629038402505555,0.057440275377934745
39,0.0,0.0,0.24098847802192308,0.0,0.00433745249639654,0.032524432120011146,0.46326925902396493,0.020408015751817287,0.23396453507978057,0.004507827506106307,0.061777727874331285
40,0.0,0.0,0.22999059022742957,0.0,0.004221230104778305,0.03343289983017478,0.4545281052565626,0.023024775488410216,0.24948234653689808,0.0053200525557462845,0.06599895797910958
41,0.0,0.0,0.21920291831200261,0.0,0.004102916833801609,0.03379498761035318,0.4452618303724209,0.026006480631396472,0.26543337650266513,0.00619748973735993,0.07010187481291119
42,0.0,0.0,0.2086081357184527,0.0,0.003982716061418123,0.033959645313832644,0.4354410679285514,0.029007489465878757,0.2818662054786664,0.007134740033199791,0.07408459087432932
43,0.0,0.0,0.19817860387071512,0.0,0.0038603479158029943,0.03393639990638367,0.42501153032442895,0.032012018696671335,0.2988649270147234,0.008136172271274313,0.07794493879013231
44,0.0,0.0,0.1878699478276523,0.0,0.003735321342013127,0.03372976576779918,0.4138771006004284,0.035005017275160706,0.3165726914397736,0.009210155747172424,0.08168026013214542
45,0.0,0.0,0.17762937071949506,0.0,0.0036067942497032077,0.03334043429321182,0.40191294605557987,0.0379717527464286,0.3351706288430762,0.01036807309250502,0.08528705438184865
46,0.0,0.0,0.16742387553848095,0.0,0.003473701950120727,0.0327707784947187,0.38902631604056376,0.04089748072250474,0.3547890520889857,0.011618795164625205,0.08876075633196936
47,0.0,0.0,0.1572580963339838,0.0,0.003335290728016622,0.03202913168579582,0.3752033086081044,0.043767560417187164,0.3754425479979256,0.012964064228986388,0.09209604705998599
48,0.0,0.0,0.14715297271893543,0.0,0.003191505032805401,0.031126258564035437,0.3604692205483569,0.04656795124741375,0.3970902546399161,0.014401837248536808,0.09528755209279138
49,0.0,0.0,0.13715025061984548,0.0,0.003042621999527803,0.030077482375452564,0.3449047535266599,0.049285460651807174,0.41961482176117526,0.01592460906553166,0.09833017409231919
50,0.0,0.0,0.12729064160222212,0.0,0.002889375563267218,0.02889816927008999,0.328598086281446,0.051908131411209056,0.4428917224607453,0.017523873411020154,0.10121954965558642
