x,Curve1
20.609,0.024
24.265,5.253
27.108,8.473
30.051,10.285
33.098,14.36
36.547,15.626
38.273,17.389
41.014,20.04
44.366,24.975
46.399,29.293
49.04,33.634
50.973,39.078
53.411,43.694
56.557,45.514
58.59,49.549
61.13,53.886
63.365,57.647
64.893,64.77
66.723,68.514
68.151,77.328
69.777,80.5
