x,Curve1,,,
1.778,0,,,
6.222,0,,,
19.778,0,,,
26.666,0,,,
30.666,0,,,
33.782,0,,,0.01692
36.454,0.04299,,,
38.906,0.07657,,,
42.244,0.09886,,,
45.802,0.10991,,,
46.701,0.1548,,,
50.047,0.21081,,,
52.946,0.25559,,,
56.285,0.28163,,,
59.625,0.31142,,,
60.97,0.36378,,,
63.646,0.40858,,,
64.993,0.46843,,,
66.781,0.51328,,,
68.124,0.55815,,,
69.912,0.603,,,
