x,Curve1
25,0
28.889,0.03151
32,0.04291
34.667,0.07302
37.556,0.11437
39.778,0.18939
41.556,0.23443
43.556,0.27199
45.778,0.3208
48.222,0.35839
50.889,0.39598
52.889,0.46725
54.889,0.52728
58,0.59486
59.556,0.66236
60.889,0.69614
61.778,0.74113
64.444,0.76
66.444,0.79382
69.111,0.82767
