,dom_strat,inc_cost,inc_eff
109,"Q3Y, Start age: 40",0.05,0.0
110,"Q3Y, Start age: 35",0.012078917297049685,58.41541016043084
111,"Q2Y, Start age: 40",0.05,0.0
112,"Q3Y, Start age: 40",0.05,0.0
113,"Q2Y, Start age: 40",0.006415412858892466,297.5411129949525
114,"Q3Y, Start age: 40",0.05,0.0
115,"Q3Y, Start age: 35",0.005966757911124887,173.71750690934823
116,"Q3Y, Start age: 35",0.015173882361203539,909.6455056411742
117,"Q2Y, Start age: 40",0.05,0.0
118,"Q3Y, Start age: 35",0.0539223015316459,1503.2497102170091
119,"Q3Y, Start age: 35",0.0365716319969458,605.2013781869427
120,"Q2Y, Start age: 40",0.028016146034911316,700.41294875739
121,"Q3Y, Start age: 35",0.027858141053105356,602.1633712487765
122,"Q2Y, Start age: 40",0.013404896456293613,140.88891670387056
123,"Q3Y, Start age: 40",0.05,0.0
124,"Q3Y, Start age: 40",0.05,0.0
125,"Q3Y, Start age: 35",0.021541919554138644,801.9813279900718
126,"Q3Y, Start age: 35",0.026764234929746777,133.8169856187851
127,"Q3Y, Start age: 35",0.02068393628731613,1185.1537632971122
128,"Q3Y, Start age: 40",0.05,0.0
129,"Q2Y, Start age: 35",0.024456447159298733,1229.5408277394054
130,"Q3Y, Start age: 40",0.01939131649744752,13.552568060367776
131,"Q3Y, Start age: 40",0.05,0.0
132,"Q3Y, Start age: 40",0.05,0.0
133,"Q3Y, Start age: 30",0.028247680519580598,2375.147742514271
134,"Q3Y, Start age: 35",0.05098011580169981,1459.3061625471128
135,"Q3Y, Start age: 40",0.05,0.0
136,"Q2Y, Start age: 40",0.026645905864224773,462.4765387942134
137,"Q3Y, Start age: 40",0.05,0.0
138,"Q2Y, Start age: 40",0.018423618745170955,1093.0055111015208
139,"Q2Y, Start age: 40",0.008164905696904867,436.13268317280927
140,"Q3Y, Start age: 40",0.05,0.0
141,"Q3Y, Start age: 35",0.04846302961954052,577.445210657068
142,"Q3Y, Start age: 35",0.03178944508948334,1124.044159849289
143,"Q3Y, Start age: 40",0.05,0.0
144,"Q2Y, Start age: 40",0.05,0.0
145,"Q3Y, Start age: 40",0.05,0.0
146,"Q3Y, Start age: 30",0.036701245283570216,1954.7453839213085
147,"Q3Y, Start age: 35",0.011618866932945338,542.039822124103
148,"Q2Y, Start age: 40",0.03346105223504736,599.7446859257143
149,"Q3Y, Start age: 35",0.03972857417467068,244.31432062527074
150,"Q3Y, Start age: 40",0.05,0.0
151,"Q3Y, Start age: 35",0.005940112816283261,407.47872892353644
152,"Q2Y, Start age: 40",0.1047634378479394,841.3401326696203
153,"Q2Y, Start age: 40",0.0733942813481967,1564.1168750537945
154,"Q3Y, Start age: 40",0.05,0.0
155,"Q2Y, Start age: 40",0.01452698248793638,1103.7823614547124
156,"Q3Y, Start age: 35",0.016240827162469884,388.12127287387466
157,"Q2Y, Start age: 40",0.01698285157291224,938.8886074309994
158,"Q2Y, Start age: 40",0.012677150550388205,864.7235796032401
159,"Q3Y, Start age: 40",0.05,0.0
160,"Q2Y, Start age: 40",0.04284715899721192,306.85945027743946
161,"Q3Y, Start age: 40",0.05,0.0
162,"Q3Y, Start age: 40",0.05,0.0
163,"Q3Y, Start age: 40",0.05,0.0
164,"Q3Y, Start age: 35",0.020656450321475006,961.0021423046692
165,"Q3Y, Start age: 35",0.05411324930459571,161.39272784080276
166,"Q3Y, Start age: 40",0.05,0.0
167,"Q2Y, Start age: 35",0.010357702556998305,771.4599577068466
168,"Q2Y, Start age: 40",0.028703787886026788,597.3631267438886
169,"Q2Y, Start age: 40",0.007767099043867631,446.4592987376218
170,"Q3Y, Start age: 40",0.05,0.0
171,"Q2Y, Start age: 40",0.05,0.0
172,"Q2Y, Start age: 40",0.01925428262457629,564.823581086328
173,"Q3Y, Start age: 40",0.05,0.0
174,"Q3Y, Start age: 35",0.013171562177145546,1054.9737923415269
175,"Q3Y, Start age: 35",0.059326480591074926,761.7006676467754
176,"Q3Y, Start age: 40",0.010026436779703829,160.50347710038477
177,"Q3Y, Start age: 40",0.05,0.0
178,"Q2Y, Start age: 40",0.03681816801436355,356.2860732407571
179,"Q3Y, Start age: 40",0.05,0.0
180,"Q3Y, Start age: 40",0.05,0.0
181,"Q3Y, Start age: 40",0.05,0.0
182,"Q3Y, Start age: 40",0.05,0.0
183,"Q3Y, Start age: 40",0.05,0.0
184,"Q2Y, Start age: 40",0.04117444573592266,225.81818045119326
185,"Q2Y, Start age: 40",0.008257471827477048,759.1595496703885
186,"Q2Y, Start age: 40",0.022426157207721786,530.8440829877363
187,"Q3Y, Start age: 35",0.032282718203109795,1521.619903209912
188,"Q2Y, Start age: 40",0.022222719474147112,92.71291121518425
189,"Q3Y, Start age: 40",0.05,0.0
190,"Q3Y, Start age: 40",0.05,0.0
191,"Q3Y, Start age: 35",0.019879034503080817,1092.321384465451
192,"Q2Y, Start age: 40",0.014701651806579008,403.05376802293176
193,"Q3Y, Start age: 40",0.05,0.0
194,"Q3Y, Start age: 35",0.01432193877523602,905.233045323148
195,"Q3Y, Start age: 40",0.05,0.0
196,"Q3Y, Start age: 40",0.05,0.0
197,"Q3Y, Start age: 35",0.014042481991094036,1020.566577383448
198,"Q2Y, Start age: 40",0.017771595919835903,659.3231156417041
199,"Q3Y, Start age: 40",0.012288837788087648,411.1408076398475
200,"Q3Y, Start age: 40",0.05,0.0
201,"Q3Y, Start age: 35",0.023149700690851205,546.7919350321972
202,"Q3Y, Start age: 40",0.05,0.0
203,"Q3Y, Start age: 40",0.05,0.0
204,"Q3Y, Start age: 40",0.05,0.0
205,"Q3Y, Start age: 35",0.015332078198781574,935.380371637395
206,"Q3Y, Start age: 40",0.05,0.0
207,"Q3Y, Start age: 35",0.013203538632144074,809.1329990493159
208,"Q2Y, Start age: 40",0.051523614936986206,290.4903119841929
209,"Q2Y, Start age: 40",0.015348527029562575,543.8389490910922
210,"Q3Y, Start age: 40",0.05,0.0
211,"Q2Y, Start age: 40",0.03829613881681837,48.35586037654684
212,"Q3Y, Start age: 40",0.05,0.0
213,"Q3Y, Start age: 40",0.05,0.0
214,"Q2Y, Start age: 40",0.05,0.0
215,"Q3Y, Start age: 35",0.020654168613813084,238.04129536940854
216,"Q3Y, Start age: 40",0.05,0.0
217,"Q3Y, Start age: 35",0.013625952012763065,448.62909981699977
218,"Q3Y, Start age: 40",0.020864216495485977,68.63339197744062
219,"Q3Y, Start age: 40",0.05,0.0
220,"Q3Y, Start age: 40",0.05,0.0
221,"Q2Y, Start age: 40",0.027220503917767758,447.15210585171917
222,"Q3Y, Start age: 40",0.05,0.0
223,"Q3Y, Start age: 35",0.02208725862022476,1448.8219815458815
224,"Q2Y, Start age: 40",0.05,0.0
225,"Q2Y, Start age: 40",0.019765287814561106,889.3954845388798
226,"Q3Y, Start age: 40",0.05,0.0
227,"Q2Y, Start age: 40",0.06153114441049823,114.75694293806009
228,"Q3Y, Start age: 40",0.05,0.0
229,"Q3Y, Start age: 40",0.05,0.0
230,"Q3Y, Start age: 35",0.019265121481421232,681.727330807631
231,"Q3Y, Start age: 35",0.010400342340744828,832.8358265436345
232,"Q3Y, Start age: 40",0.05,0.0
233,"Q3Y, Start age: 35",0.023886996660639426,745.0414805889068
234,"Q3Y, Start age: 30",0.030598960621002647,2600.627812610137
235,"Q2Y, Start age: 40",0.014328127648241207,948.622748507114
236,"Q3Y, Start age: 40",0.05,0.0
237,"Q3Y, Start age: 35",0.044118221909826616,484.3712257487696
238,"Q3Y, Start age: 35",0.023983846398479614,1192.2913386097116
239,"Q3Y, Start age: 40",0.05,0.0
240,"Q3Y, Start age: 40",0.05,0.0
241,"Q2Y, Start age: 40",0.05,0.0
242,"Q3Y, Start age: 40",0.05,0.0
243,"Q2Y, Start age: 40",0.020879186628111057,258.6140747103864
244,"Q2Y, Start age: 40",0.02474916914127334,331.0143500876693
245,"Q3Y, Start age: 35",0.030840477698344415,414.78332327286626
246,"Q3Y, Start age: 35",0.018642411154246474,846.8121360897931
247,"Q3Y, Start age: 40",0.05,0.0
248,"Q3Y, Start age: 35",0.05063457565726637,418.90176202170187
249,"Q2Y, Start age: 40",0.015834669205393226,699.4363291941336
250,"Q2Y, Start age: 40",0.028974449338825536,656.5610709545308
251,"Q3Y, Start age: 35",0.04939806068755104,604.0283624066924
252,"Q2Y, Start age: 40",0.030949613722242475,574.2589822687241
253,"Q3Y, Start age: 35",0.008867171323053924,426.26655855776335
254,"Q3Y, Start age: 40",0.05,0.0
255,"Q2Y, Start age: 40",0.061472850689487046,159.4450275198651
256,"Q3Y, Start age: 35",0.011006415989072593,520.999306681073
257,"Q3Y, Start age: 40",0.05,0.0
258,"Q3Y, Start age: 40",0.05,0.0
259,"Q2Y, Start age: 40",0.024417341010071425,424.63280907874287
260,"Q3Y, Start age: 40",0.05,0.0
261,"Q3Y, Start age: 35",0.02409621212795443,403.97765840155625
262,"Q3Y, Start age: 35",0.009440371320160068,524.7935888275542
263,"Q3Y, Start age: 35",0.05952037611569594,705.0989861290509
264,"Q2Y, Start age: 40",0.055786530293289616,1093.375503640138
