age_1y,prob_death_1y_male_y,prob_death_1y_female_y,prob_death_1y_male_m,prob_death_1y_female_m
0,0.006067079957574606,0.005121065303683281,0.0005070013871338874,0.0004277603926269302
1,0.0004890274722129107,0.00039659353205934167,4.076142632591928e-05,3.3055469995324493e-05
2,0.0003227379929739982,0.00024324440164491534,2.689881189443799e-05,2.0272627037742907e-05
3,0.0002381341328145936,0.00020513724302873015,1.984667732291001e-05,1.7096377734504564e-05
4,0.00018794351490214467,0.0001465119275962934,1.566330887059486e-05,1.2210147248614689e-05
5,0.00017018332437146455,0.00013845684588886797,1.4183050019322962e-05,1.1538802754396116e-05
6,0.00015510196681134403,0.00012287680874578655,1.2926082821218543e-05,1.0240310794218388e-05
7,0.0001416331360815093,0.00011279854516033083,1.1803527587894713e-05,9.4003647658214e-06
8,0.0001245357416337356,0.00010686242603696883,1.0378570880043014e-05,8.905638363976287e-06
9,0.00010569098958512768,0.0001049065322149545,8.808009148486562e-06,8.742631390501465e-06
10,9.420640708412975e-05,0.000107971703982912,7.850872913883755e-06,8.998087295930546e-06
11,0.00010523748642299324,0.00011810389696620405,8.770213564490703e-06,9.842524210434966e-06
12,0.0001562192483106628,0.00013773773389402777,1.3019202900088622e-05,1.1478869167858008e-05
13,0.00025657814694568515,0.00016802789468783885,2.1384027087623103e-05,1.4003403031148665e-05
14,0.00039337205816991627,0.0002065341832349077,3.278691660180133e-05,1.7212811387556926e-05
15,0.00054618512513116,0.00025056133745238185,4.5526825169450724e-05,2.088250972309691e-05
16,0.0006965837092138827,0.00029612312209792435,5.8067183733467864e-05,2.4680276704214243e-05
17,0.0008398387581110001,0.00034026330104097724,7.001351729429839e-05,2.8359698167279568e-05
18,0.0009663018863648176,0.0003802544961217791,8.056084288510235e-05,3.169339868658305e-05
19,0.0010791078675538301,0.0004173456400167197,8.997016274647773e-05,3.478545771751218e-05
20,0.001191966119222343,0.0004555456980597228,9.938481732263416e-05,3.7970069995618694e-05
21,0.0013084051897749305,0.0004966837004758418,0.00010909920651602789,4.1399733730962396e-05
22,0.001420000335201621,0.0005395779735408723,0.00011841044652338706,4.4975955061588024e-05
23,0.0015284549444913864,0.0005857979995198548,0.0001274605614924873,4.882961164609512e-05
24,0.0016371486708521843,0.0006364253349602222,0.00013653153398784923,5.305092104423981e-05
25,0.0017456484492868185,0.000690331740770489,0.00014558722357072007,5.7545854960761034e-05
26,0.0018569176318123937,0.0007478612242266536,0.000154874992350007,6.234314091357884e-05
27,0.0019741591531783342,0.0008100794511847198,0.00016466230615708177,6.753169820306049e-05
28,0.0020953714847564697,0.0008749196422286332,0.0001747822110631514,7.293922378970308e-05
29,0.0022149099968373775,0.0009397987159900367,0.00018476347395990356,7.835031409397786e-05
30,0.0023334273137152195,0.0010050979908555746,0.00019466055098704693,8.379677556691334e-05
31,0.0024459296837449074,0.0010704006999731064,0.00020405633237141618,8.924384985875555e-05
32,0.0025457385927438736,0.0011347612598910928,0.00021239281605311966,9.461265635157812e-05
33,0.002632424235343933,0.0011999929556623101,0.00021963380668421628,0.00010005445452898609
34,0.0027127405628561974,0.001268837135285139,0.0002263432731139936,0.00010579796889109705
35,0.0027939043939113617,0.0013426048681139946,0.0002331240415089919,0.00011195264696506335
36,0.0028829302173107862,0.0014221019810065627,0.00024056221567658742,0.00011858581212387254
37,0.0029826771933585405,0.001508125220425427,0.0002488968733497243,0.0001257640565330842
38,0.00309573533013463,0.0015998573508113623,0.00025834470918839614,0.0001334193062851874
39,0.003220177721232176,0.001696289167739451,0.0002687450191739549,0.0001414674504737201
40,0.003362058661878109,0.00180363142862916,0.000280604213332758,0.00015042701224166066
41,0.0035133082419633865,0.0019180740928277373,0.00029324819457998696,0.00015998019784757567
42,0.0036613361444324255,0.0020304187200963497,0.0003056245573977989,0.00016935922499394795
43,0.0038045099936425686,0.0021401732228696346,0.0003175966846746814,0.00017852295174858313
44,0.003957078326493502,0.002256279345601797,0.00033035611009579746,0.00018821799969337416
45,0.004139640834182501,0.0023927276488393545,0.0003456263297417772,0.00019961297435266978
46,0.0043683769181370735,0.0025570911820977926,0.0003647623042802861,0.00021334108320625322
47,0.004640426021069288,0.002743482356891036,0.00038752707718903157,0.00022891151258774833
48,0.0049483818002045155,0.002945561893284321,0.00041330336507394705,0.00024579550387393567
49,0.005283091217279434,0.003160352585837245,0.00044132726075263307,0.0002637449670761516
50,0.005632309243083,0.0033863710705190897,0.00047057512038539695,0.0002826365343014947
51,0.006016440689563751,0.0036369417794048786,0.0005027579408078964,0.00030358486976156396
52,0.006467906292527914,0.003927298821508884,0.0005405966441687227,0.00032786548288776807
53,0.007014269474893808,0.004271996673196554,0.0005864100864885202,0.00035669867809873246
54,0.007654180750250816,0.004670202732086182,0.0006400970780928716,0.0003900191062540248
55,0.008336617611348629,0.005092428531497717,0.0006973868420953044,0.00042536276883231583
56,0.009055172093212605,0.005539205856621265,0.0007577477102208574,0.00046277656475879336
57,0.00985706690698862,0.006041302811354399,0.0008251568218159422,0.0005048413008067465
58,0.010736281052231789,0.006598092149943113,0.0008991231116680654,0.0005515108440551364
59,0.011661052703857422,0.007189874071627855,0.0009769871038896039,0.0006011397247354111
60,0.012616168707609177,0.007811634801328182,0.0010574761712903724,0.0006533119529312792
61,0.013579309917986393,0.008442280814051628,0.001138713839900718,0.0007062603732906902
62,0.014541718177497387,0.009065241552889347,0.0012199623465520837,0.0007585938619729671
63,0.015518367290496826,0.009684290736913681,0.0013024874877987092,0.000810628633374666
64,0.01654474437236786,0.01032949797809124,0.0013892954699779025,0.0008648938878944579
65,0.017652425915002823,0.011023567058146,0.001483073171324012,0.0009233048933569021
66,0.018999021500349045,0.011864908039569855,0.0015972082668853638,0.0009941603138521327
67,0.02029547467827797,0.012724832631647587,0.0017072291529496297,0.0010666379655488445
68,0.02172156609594822,0.01374815683811903,0.0018284057777366858,0.0011529629906013028
69,0.023220205679535866,0.01490480825304985,0.001955921519688264,0.0012506340639124591
70,0.024717949330806732,0.016151361167430878,0.002083540333542966,0.0013560144542831276
71,0.02652646042406559,0.017479315400123596,0.002237878478855926,0.001468411030653427
72,0.02854766882956028,0.01914273388683796,0.002410679518428216,0.0016093975583941766
73,0.030912987887859344,0.021044796332716942,0.0026133189330117546,0.0017708797000106635
74,0.03368469700217247,0.02334607206285,0.0028513519361309525,0.0019666393582973285
75,0.03636044263839722,0.025436067953705788,0.003081738120162103,0.0021447930717032326
76,0.04071785509586334,0.02895035408437252,0.0034581766825132476,0.0024451460278227533
77,0.04411991685628891,0.031753603368997574,0.0037531733258364675,0.0026854445687171102
78,0.048910319805145264,0.035411760210990906,0.004170190501001758,0.002999987951150085
79,0.05325748398900032,0.038773540407419205,0.004550292337228146,0.0032900133256067443
80,0.05983412638306618,0.04371759667992592,0.005128384535568298,0.0037182375541292556
81,0.06621317565441132,0.04856446757912636,0.005692660573086816,0.004140018743371443
82,0.07359003275632858,0.054103657603263855,0.006349623159214723,0.004624464961998531
83,0.0815308541059494,0.06068852171301842,0.007062191917049487,0.005203758461540531
84,0.0897582471370697,0.06764167547225952,0.007806457785799026,0.00581950650554286
85,0.10021603107452393,0.0762123167514801,0.008761441156326932,0.00658431227480516
86,0.1106090247631073,0.08373292535543442,0.009720641806230779,0.007260794687029226
87,0.123952217400074,0.0947592705488205,0.01096730269698376,0.008261879127532623
88,0.13850413262844086,0.10697116702795029,0.012346895477275077,0.009383729668208662
89,0.15427877008914948,0.12042546272277832,0.01386674925050091,0.01063611297921152
90,0.17126743495464325,0.1351633071899414,0.015532914937301912,0.012028290110646211
91,0.1894351989030838,0.15120552480220795,0.017349728736773873,0.01356862171216644
92,0.20871824026107788,0.16854795813560486,0.019319372608134988,0.01526410915815557
93,0.22902213037014008,0.1871572881937027,0.021441427156635773,0.01711989808893921
94,0.25022199749946594,0.2069675475358963,0.02371250957127058,0.01913874458698339
95,0.27216383814811707,0.22787818312644958,0.026125930418745558,0.021320513738562696
96,0.2946683466434479,0.2497536540031433,0.02867153835681946,0.023661704861675403
97,0.3175358772277832,0.2724253535270691,0.03133564508838449,0.02615509506354563
98,0.3405534327030182,0.29569539427757263,0.034101182628253235,0.028789481336887524
99,0.36350229382514954,0.31934309005737305,0.036948001298276134,0.031549662557442515
100,1.0,1.0,1.0,1.0
